paesq3: .word 30, 9
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,81,81,81,163,245,246,246,246,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,90,90,172,162,162,235,243,243,244,244,172,81,81,
0,0,0,0,0,0,0,0,0,0,9,8,163,172,171,235,243,234,234,234,234,234,243,244,181,91,9,9,0,0,
0,0,9,9,82,163,163,163,153,153,244,243,234,234,234,234,234,234,234,234,244,181,155,90,9,0,0,0,0,0,
9,91,172,244,243,235,234,234,234,234,234,234,234,234,234,234,243,244,245,91,91,9,0,0,0,0,0,0,0,0,
245,244,234,234,234,234,234,234,234,234,234,234,234,243,244,172,163,91,9,0,0,0,0,0,0,0,0,0,0,0,
254,234,234,234,234,234,234,234,234,234,234,244,173,172,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,244,235,234,234,234,234,243,244,172,90,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,82,173,245,245,245,172,81,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


